id;created_at;Proteina;TipoCocionProteina;Complemento;Descripcion
1;2025-08-24;Carne de Res;Hamburguesa;con Pan ;Carne de Res Hamburguesa con Pan 
2;2025-08-24;Carne de Res;Molida /dip Mexicano;con Galletas;Carne de Res Molida /dip Mexicano con Galletas
3;2025-08-24;Carne de Res;Molida;con Nachos ;Carne de Res Molida con Nachos 
4;2025-08-24;Carne de Res;Molida;con Tortilla para tacos;Carne de Res Molida con Tortilla para tacos
5;2025-08-24;Chorizo;Frito/ al Sarten;con Pan ;Chorizo Frito/ al Sarten con Pan 
6;2025-08-24;Chorizo;Frito;con Patacones;Chorizo Frito con Patacones
7;2025-08-24;Chorizo;Frito;con Tortilla de Maiz;Chorizo Frito con Tortilla de Maiz
8;2025-08-24;Chorizo;Frito;con hojaldra;Chorizo Frito con hojaldra
9;2025-08-24;Chorizo;Frito;con empanada de Maiz ;Chorizo Frito con empanada de Maiz 
10;2025-08-24;Chorizo;Frito;con empanada de harina;Chorizo Frito con empanada de harina
11;2025-08-24;Chorizo;Guisado;con hojaldra;Chorizo Guisado con hojaldra
12;2025-08-24;Chorizo;Guisado;con empanada de Maiz ;Chorizo Guisado con empanada de Maiz 
13;2025-08-24;Chorizo;Guisado;con empanada de harina;Chorizo Guisado con empanada de harina
14;2025-08-24;Chorizo;Guisado;con Patacones;Chorizo Guisado con Patacones
15;2025-08-24;Chorizo;Guisado;con Tortilla de Maiz;Chorizo Guisado con Tortilla de Maiz
16;2025-08-24;Chorizo;Guisado;con Pan ;Chorizo Guisado con Pan 
