id;created_at;Proteina;TipoCocionProteina;Complemento;Descripcion
26;2025-08-24;Pollo;Desilachado ;con Pan ;Pollo  Desilachado  con Pan 
27;2025-08-24;Pollo;Hamburguesa;con Pan ;Pollo  Hamburguesa con Pan 
28;2025-08-24;Pollo;Nuggets;con Papitas;Pollo  Nuggets con Papitas
29;2025-08-24;Pollo;Desilachado ;;Pollo  Desilachado  
30;2025-08-24;Pollo;Nuggets;con Yukkitas;Pollo  Nuggets con Yukkitas
31;2025-08-24;Salchichas;Frito;con Hojaldre;Salchichas Frito con Hojaldre
32;2025-08-24;Salchichas;Guisado;con Hojaldre;Salchichas Guisado con Hojaldre
33;2025-08-24;Salchichas;Sancochadas;con Pan hotDogs;Salchichas Sancochadas con Pan hotDogs
34;2025-08-24;Salchichas;Guisado;con Patacones;Salchichas Guisado con Patacones
35;2025-08-24;Salchichas;Frito;con Patacones;Salchichas Frito con Patacones
36;2025-08-24;Salchichas;Frito;con Tortilla de Maiz;Salchichas Frito con Tortilla de Maiz
37;2025-08-24;Salchichas;Guisado;con Tortilla de Maiz;Salchichas Guisado con Tortilla de Maiz
38;2025-08-24;Salchichas;Coctel;con Patacones;Salchichas Coctel con Patacones
39;2025-08-24;Salchichas;Coctel;con Tortilla de Maiz;Salchichas Coctel con Tortilla de Maiz
40;2025-08-24;Salchichas;Coctel;con Hojaldre;Salchichas Coctel con Hojaldre
41;2025-08-24;Salchichas;Coctel;con Galletas;Salchichas Coctel con Galletas
