id;created_at;Proteina;TipoCocionProteina;Complemento;Descripcion
1;2025-08-24;Pollo;a la Reina; con Arroz blanco y Ensalada de papa;Pollo a la Reina  con Arroz blanco y Ensalada de papa
2;2025-08-24;Pollo;a la Reina; con Arroz blanco y Ensalada de repollo con zanahoria;Pollo a la Reina  con Arroz blanco y Ensalada de repollo con zanahoria
3;2025-08-24;Pollo;a la Reina; con Arroz blanco y Tajadas;Pollo a la Reina  con Arroz blanco y Tajadas
4;2025-08-24;Pollo;a la Reina; con Arroz blanco;Pollo a la Reina  con Arroz blanco
5;2025-08-24;Pollo;a la Reina; con Arroz con maíz y Ensalada de papa;Pollo a la Reina  con Arroz con maíz y Ensalada de papa
6;2025-08-24;Pollo;a la Reina; con Arroz con maíz y Ensalada de repollo con zanahoria;Pollo a la Reina  con Arroz con maíz y Ensalada de repollo con zanahoria
7;2025-08-24;Pollo;a la Reina; con Arroz con maíz y Tajadas;Pollo a la Reina  con Arroz con maíz y Tajadas
8;2025-08-24;Pollo;a la Reina; con Arroz con maíz;Pollo a la Reina  con Arroz con maíz
9;2025-08-24;Pollo;a la Reina; con Arroz con guandú y Ensalada de papa;Pollo a la Reina  con Arroz con guandú y Ensalada de papa
10;2025-08-24;Pollo;a la Reina; con Arroz con guandú y Ensalada de repollo con zanahoria;Pollo a la Reina  con Arroz con guandú y Ensalada de repollo con zanahoria
11;2025-08-24;Pollo;a la Reina; con Arroz con guandú y Tajadas;Pollo a la Reina  con Arroz con guandú y Tajadas
12;2025-08-24;Pollo;a la Reina; con Arroz con guandú;Pollo a la Reina  con Arroz con guandú
13;2025-08-24;Pollo;a la Reina; con Arroz con lentejas y Ensalada de papa;Pollo a la Reina  con Arroz con lentejas y Ensalada de papa
14;2025-08-24;Pollo;a la Reina; con Arroz con lentejas y Ensalada de repollo con zanahoria;Pollo a la Reina  con Arroz con lentejas y Ensalada de repollo con zanahoria
15;2025-08-24;Pollo;a la Reina; con Arroz con lentejas y Tajadas;Pollo a la Reina  con Arroz con lentejas y Tajadas
16;2025-08-24;Pollo;a la Reina; con Arroz con lentejas;Pollo a la Reina  con Arroz con lentejas
17;2025-08-24;Pollo;a la Reina; con Arroz verde y Ensalada de papa;Pollo a la Reina  con Arroz verde y Ensalada de papa
18;2025-08-24;Pollo;a la Reina; con Arroz verde y Ensalada de repollo con zanahoria;Pollo a la Reina  con Arroz verde y Ensalada de repollo con zanahoria
19;2025-08-24;Pollo;a la Reina; con Arroz verde y Tajadas;Pollo a la Reina  con Arroz verde y Tajadas
20;2025-08-24;Pollo;a la Reina; con Arroz verde;Pollo a la Reina  con Arroz verde
21;2025-08-24;Pollo;a la Reina; con Puré de papas y Ensalada de papa;Pollo a la Reina  con Puré de papas y Ensalada de papa
22;2025-08-24;Pollo;a la Reina; con Puré de papas y Tajadas;Pollo a la Reina  con Puré de papas y Tajadas
23;2025-08-24;Pollo;a la Reina; con Puré de papas;Pollo a la Reina  con Puré de papas
24;2025-08-24;Pollo;a la Reina; con Papas fritas y Ensalada de papa;Pollo a la Reina  con Papas fritas y Ensalada de papa
25;2025-08-24;Pollo;a la Reina; con Papas fritas y Ensalada de repollo con zanahoria;Pollo a la Reina  con Papas fritas y Ensalada de repollo con zanahoria
26;2025-08-24;Pollo;a la Reina; con Papas fritas y Tajadas;Pollo a la Reina  con Papas fritas y Tajadas
27;2025-08-24;Pollo;a la Reina; con Papas fritas;Pollo a la Reina  con Papas fritas
28;2025-08-24;Pollo;a la Reina; con Papas asadas y Ensalada de papa;Pollo a la Reina  con Papas asadas y Ensalada de papa
29;2025-08-24;Pollo;a la Reina; con Papas asadas y Ensalada de repollo con zanahoria;Pollo a la Reina  con Papas asadas y Ensalada de repollo con zanahoria
30;2025-08-24;Pollo;a la Reina; con Papas asadas y Tajadas;Pollo a la Reina  con Papas asadas y Tajadas
31;2025-08-24;Pollo;a la Reina; con Papas asadas;Pollo a la Reina  con Papas asadas
32;2025-08-24;Pollo;a la Reina; con Patacones y Ensalada de papa;Pollo a la Reina  con Patacones y Ensalada de papa
33;2025-08-24;Pollo;a la Reina; con Patacones y Ensalada de repollo con zanahoria;Pollo a la Reina  con Patacones y Ensalada de repollo con zanahoria
34;2025-08-24;Pollo;a la Reina; con Patacones y Tajadas;Pollo a la Reina  con Patacones y Tajadas
35;2025-08-24;Pollo;a la Reina; con Patacones;Pollo a la Reina  con Patacones
36;2025-08-24;Pollo;a la BBQ; con Arroz blanco y Ensalada de papa;Pollo a la BBQ  con Arroz blanco y Ensalada de papa
37;2025-08-24;Pollo;a la BBQ; con Arroz blanco y Ensalada de repollo con zanahoria;Pollo a la BBQ  con Arroz blanco y Ensalada de repollo con zanahoria
38;2025-08-24;Pollo;a la BBQ; con Arroz blanco y Tajadas;Pollo a la BBQ  con Arroz blanco y Tajadas
39;2025-08-24;Pollo;a la BBQ; con Arroz blanco;Pollo a la BBQ  con Arroz blanco
40;2025-08-24;Pollo;a la BBQ; con Arroz con maíz y Ensalada de papa;Pollo a la BBQ  con Arroz con maíz y Ensalada de papa
41;2025-08-24;Pollo;a la BBQ; con Arroz con maíz y Ensalada de repollo con zanahoria;Pollo a la BBQ  con Arroz con maíz y Ensalada de repollo con zanahoria
42;2025-08-24;Pollo;a la BBQ; con Arroz con maíz y Tajadas;Pollo a la BBQ  con Arroz con maíz y Tajadas
43;2025-08-24;Pollo;a la BBQ; con Arroz con maíz;Pollo a la BBQ  con Arroz con maíz
44;2025-08-24;Pollo;a la BBQ; con Arroz con guandú y Ensalada de papa;Pollo a la BBQ  con Arroz con guandú y Ensalada de papa
45;2025-08-24;Pollo;a la BBQ; con Arroz con guandú y Ensalada de repollo con zanahoria;Pollo a la BBQ  con Arroz con guandú y Ensalada de repollo con zanahoria
46;2025-08-24;Pollo;a la BBQ; con Arroz con guandú y Tajadas;Pollo a la BBQ  con Arroz con guandú y Tajadas
47;2025-08-24;Pollo;a la BBQ; con Arroz con guandú;Pollo a la BBQ  con Arroz con guandú
48;2025-08-24;Pollo;a la BBQ; con Arroz con lentejas y Ensalada de papa;Pollo a la BBQ  con Arroz con lentejas y Ensalada de papa
49;2025-08-24;Pollo;a la BBQ; con Arroz con lentejas y Ensalada de repollo con zanahoria;Pollo a la BBQ  con Arroz con lentejas y Ensalada de repollo con zanahoria
50;2025-08-24;Pollo;a la BBQ; con Arroz con lentejas y Tajadas;Pollo a la BBQ  con Arroz con lentejas y Tajadas
51;2025-08-24;Pollo;a la BBQ; con Arroz con lentejas;Pollo a la BBQ  con Arroz con lentejas
52;2025-08-24;Pollo;a la BBQ; con Arroz verde y Ensalada de papa;Pollo a la BBQ  con Arroz verde y Ensalada de papa
53;2025-08-24;Pollo;a la BBQ; con Arroz verde y Ensalada de repollo con zanahoria;Pollo a la BBQ  con Arroz verde y Ensalada de repollo con zanahoria
54;2025-08-24;Pollo;a la BBQ; con Arroz verde y Tajadas;Pollo a la BBQ  con Arroz verde y Tajadas
55;2025-08-24;Pollo;a la BBQ; con Arroz verde;Pollo a la BBQ  con Arroz verde
56;2025-08-24;Pollo;a la BBQ; con Puré de papas y Ensalada de papa;Pollo a la BBQ  con Puré de papas y Ensalada de papa
57;2025-08-24;Pollo;a la BBQ; con Puré de papas y Tajadas;Pollo a la BBQ  con Puré de papas y Tajadas
58;2025-08-24;Pollo;a la BBQ; con Puré de papas;Pollo a la BBQ  con Puré de papas
59;2025-08-24;Pollo;a la BBQ; con Papas fritas y Ensalada de papa;Pollo a la BBQ  con Papas fritas y Ensalada de papa
60;2025-08-24;Pollo;a la BBQ; con Papas fritas y Ensalada de repollo con zanahoria;Pollo a la BBQ  con Papas fritas y Ensalada de repollo con zanahoria
61;2025-08-24;Pollo;a la BBQ; con Papas fritas y Tajadas;Pollo a la BBQ  con Papas fritas y Tajadas
62;2025-08-24;Pollo;a la BBQ; con Papas fritas;Pollo a la BBQ  con Papas fritas
63;2025-08-24;Pollo;a la BBQ; con Papas asadas y Ensalada de papa;Pollo a la BBQ  con Papas asadas y Ensalada de papa
64;2025-08-24;Pollo;a la BBQ; con Papas asadas y Ensalada de repollo con zanahoria;Pollo a la BBQ  con Papas asadas y Ensalada de repollo con zanahoria
65;2025-08-24;Pollo;a la BBQ; con Papas asadas y Tajadas;Pollo a la BBQ  con Papas asadas y Tajadas
66;2025-08-24;Pollo;a la BBQ; con Papas asadas;Pollo a la BBQ  con Papas asadas
67;2025-08-24;Pollo;a la BBQ; con Patacones y Ensalada de papa;Pollo a la BBQ  con Patacones y Ensalada de papa
68;2025-08-24;Pollo;a la BBQ; con Patacones y Ensalada de repollo con zanahoria;Pollo a la BBQ  con Patacones y Ensalada de repollo con zanahoria
69;2025-08-24;Pollo;a la BBQ; con Patacones y Tajadas;Pollo a la BBQ  con Patacones y Tajadas
70;2025-08-24;Pollo;a la BBQ; con Patacones;Pollo a la BBQ  con Patacones
71;2025-08-24;Pollo;a la Naranja; con Arroz blanco y Ensalada de papa;Pollo a la Naranja  con Arroz blanco y Ensalada de papa
72;2025-08-24;Pollo;a la Naranja; con Arroz blanco y Ensalada de repollo con zanahoria;Pollo a la Naranja  con Arroz blanco y Ensalada de repollo con zanahoria
73;2025-08-24;Pollo;a la Naranja; con Arroz blanco y Tajadas;Pollo a la Naranja  con Arroz blanco y Tajadas
74;2025-08-24;Pollo;a la Naranja; con Arroz blanco;Pollo a la Naranja  con Arroz blanco
75;2025-08-24;Pollo;a la Naranja; con Arroz con maíz y Ensalada de papa;Pollo a la Naranja  con Arroz con maíz y Ensalada de papa
76;2025-08-24;Pollo;a la Naranja; con Arroz con maíz y Ensalada de repollo con zanahoria;Pollo a la Naranja  con Arroz con maíz y Ensalada de repollo con zanahoria
